Run	Sample Characteristic[block]	Sample Characteristic Ontology Term[block]	Sample Characteristic[developmental stage]	Sample Characteristic Ontology Term[developmental stage]	Sample Characteristic[individual]	Sample Characteristic Ontology Term[individual]	Sample Characteristic[karyotype]	Sample Characteristic Ontology Term[karyotype]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[sampling site]	Sample Characteristic Ontology Term[sampling site]	Factor Value[developmental stage]	Factor Value Ontology Term[developmental stage]	Factor Value[organism part]	Factor Value Ontology Term[organism part]	Analysed
ERR1472990	sequencing batch:FC2014_030		Carnegie Stage 23		11860		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955			Carnegie Stage 23		brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955	Yes
ERR1472991	sequencing batch:FC2014_030		Carnegie Stage 23		11843		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955			Carnegie Stage 23		brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955	Yes
ERR1472992	sequencing batch:FC2014_030		Carnegie Stage 23		11444		46, XY		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955			Carnegie Stage 23		brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955	Yes
ERR1472993	sequencing batch:FC2014_037		Carnegie Stage 22		11868		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955			Carnegie Stage 22		brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955	Yes
ERR1472994	sequencing batch:FC2014_037		Carnegie Stage 22		11793		46, XY		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955			Carnegie Stage 22		brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955	Yes
ERR1472995	sequencing batch:FC2014_037		Carnegie Stage 22		11443		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955			Carnegie Stage 22		brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955	Yes
ERR1472996	sequencing batch:FC2014_037		Carnegie Stage 22		11410		46, XY		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955			Carnegie Stage 22		brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955	Yes
ERR1472997	sequencing batch:FC2014_037		Carnegie Stage 21		11849		46, XY		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955			Carnegie Stage 21		brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955	Yes
ERR1472998	sequencing batch:FC2014_037		Carnegie Stage 21		11811		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955			Carnegie Stage 21		brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955	Yes
ERR1472999	sequencing batch:FC2014_037		Carnegie Stage 19		11566		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955			Carnegie Stage 19		brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955	Yes
ERR1473000	sequencing batch:FC2014_037		Carnegie Stage 19		11514		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955			Carnegie Stage 19		brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955	Yes
ERR1473001	sequencing batch:FC2014_037		Carnegie Stage 18		11770		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955			Carnegie Stage 18		brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955	Yes
